PersonRewards_Document, Документ
PersonVacation_DateStart, Дата начала
PersonVacation_DateFinished, Дата окончания
PersonVacation_VacationType, Вид отпуска
PersonVacation_PeriodInMonth, За период в месяцах
PersonVacation_Reason, Основание
PersonVacation_Document, Документ
PhoneNumberType_Name, Название
PhoneNumberType_Description, Описание
PhoneNumberType_Code, Код
PostOutOfOrganization_Name, Название
PostOutOfOrganization_Description, Описание
PostOutOfOrganization_Code, Код
Profession_Name, Название
Profession_Description, Описание
Profession_Code, Код
Quality_Name, Название
Quality_Description, Описание
Quality_Code, Код
Quality_Place, Местоположение
QualityUpperTyle_Name, Название
QualityUpperTyle_Description, Описание
QualityUpperTyle_Code, Код
Relative_Surname, ФИО
Relative_DateBirth, Дата рождения
Relative_FamilyType, Степень родства
Relative_Contacts, Контакты
Relative_RelativeStatus, Статус Родственика
RelativeStatus_Name, Наименование
RelativeStatus_Description, Описание
RelativeStatus_Code, Код
Reward_Name, Название
Reward_Description, Описание
Reward_Code, Код
ScienceDegree_Name, Название
ScienceDegree_Description, Описание
ScienceDegree_Code, Код
ScienceThing_Name, Название
ScienceThing_Description, Описание
ScienceThing_Code, Код
ScienceThing_ScienceThingType, Тип научного труда
ScienceThing_Document, Документ
ScienceThingType_Name, Название
ScienceThingType_Description, Описание
ScienceThingType_Code, Код
Sex_Name, Название
Sex_Description, Описание
Sex_Code, Код
SpecialRank_Name, Название
SpecialRank_Description, Описание
SpecialRank_Code, Код
StudyType_Name, Название
StudyType_Description, Описание
StudyType_Code, Код
StudyType_Place, Местоположение
TypePenalty_Name, Наименование
TypePenalty_Description, Описание
TypePenalty_Code, Код
UniversityDegree_Name, Название
UniversityDegree_Description, Описание
UniversityDegree_Code, Код
University_Name, Название
University_Description, Описание
University_Code, Код
University_Place, Местоположение
VacationType_Name, Название
VacationType_Description, Описание
VacationType_Code, Код
WarriorCategory_Name, Название
WarriorCategory_Description, Описание
WarriorCategory_Code, Код
WarriorDegree_Name, Название
WarriorDegree_Description, Описание
WarriorDegree_Code, Код
WarriorGroup_Name, Название
WarriorGroup_Description, Описание
WarriorGroup_Code, Код
WarriorReadyType_Name, Название
WarriorReadyType_Description, Описание
WarriorReadyType_Code, Код
WarriorSpeciality_Name, Название
WarriorSpeciality_Description, Описание
WarriorSpeciality_Code, Код
Disability_MainInfo, Общая информация
FamilyState_MainInfo, Общая информация
FamilyType_MainInfo, Общая информация
Illness_MainInfo, Общая информация
Language_MainInfo, Общая информация
LanguageLevel_MainInfo, Общая информация
Nationality_MainInfo, Общая информация
OrganizationForExperience_MainInfo, Общая информация
PassportMaker_MainInfo, Общая информация
PersonEducation_MainInfo, Общая информация
PersonLanguageLevel_MainInfo, Общая информация
PersonPhone_MainInfo, Общая информация
PersonQualityUpper_MainInfo, Общая информация
PersonRank_MainInfo, Общая информация
PersonRewards_MainInfo, Общая информация
PersonVacation_MainInfo, Общая информация
PhoneNumberType_MainInfo, Общая информация
PostOutOfOrganization_MainInfo, Общая информация
Profession_MainInfo, Общая информация
Quality_MainInfo, Общая информация
QualityUpperTyle_MainInfo, Общая информация
Relative_MainInfo, Общая информация
RelativeStatus_MainInfo, Общая информация
Reward_MainInfo, Общая информация
ScienceDegree_MainInfo, Общая информация
ScienceThing_MainInfo, Общая информация
ScienceThingType_MainInfo, Общая информация
Sex_MainInfo, Общая информация
SpecialRank_MainInfo, Общая информация
StudyType_MainInfo, Общая информация
TypePenalty_MainInfo, Общая информация
UniversityDegree_MainInfo, Общая информация
University_MainInfo, Общая информация
VacationType_MainInfo, Общая информация
WarriorCategory_MainInfo, Общая информация
WarriorDegree_MainInfo, Общая информация
WarriorGroup_MainInfo, Общая информация
WarriorReadyType_MainInfo, Общая информация
WarriorSpeciality_MainInfo, Общая информация
AnnualDeclaration_MainInfo, Общая информация
AnnualEstimate_MainInfo, Общая информация
Evaluation_MainInfo, Общая информация
HistoryEmployment_MainInfo, Общая информация
MentoringHistory_MainInfo, Общая информация
Mentoring_MainInfo, Общая информация
Recomendation_MainInfo, Общая информация
Subject_MainInfo, Общая информация
TypeWorkingHiring_MainInfo, Общая информация
WorkerStatus_MainInfo, Общая информация
WorkingType_MainInfo, Общая информация
Illnesss, Больничные листы
Illnesss_btnAddIllness, Добавить больничный лист
Illnesss_btnCloseIllness, Закрыть
Illnesss_btnDeleteIllness, Удалить больничный лист
